source_hash,go_version,fidelity_mode,transfer_function,seed,dimensions,iterations,population,cost,evaluations,iterations_completed,termination,optimum_hit
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2000,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2001,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2002,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2003,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2004,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2005,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2006,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2007,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2008,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2009,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2010,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2011,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2012,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2013,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v1,2014,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v2,2000,30,300,30,0,9030,300,maximum_iterations,true
72ce4ce0e05fb3c7af96a718c4a6150da95fb0555f4a297c7e6e97fa057184ff,go1.26.0,paper,v2,2001,30,300,30,0,9030,300,maximum_iterations,true
