go_version,dragonfly_revision,mayfly_revision,cma_es_revision,benchmark,dimensions,budget,base_seed,optimizer,rank,run,seed,best_cost,function_evaluations,iterations,execution_seconds
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,1,20260827,1789.6220696543544,20000,499,0.249505041
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,2,20260828,2378.7844775850826,20000,499,0.255023321
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,3,20260829,2322.208930336492,20000,499,0.256918901
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,4,20260830,1788.9393917624575,20000,499,0.181972997
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,5,20260831,1314.614245136541,20000,499,0.231911091
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,6,20260832,1805.1211881208114,20000,499,0.209147085
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,7,20260833,1439.7556686786459,20000,499,0.23672752
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,8,20260834,2440.2740296856477,20000,499,0.208500698
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,9,20260835,887.5601142642236,20000,499,0.303048991
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,DA,3,10,20260836,3017.2633793356736,20000,499,0.262430326
